id,title,isbn,publish_date,price_value,price_currency
37,Docker Crash Course,978-100-000-003-7,2023-07-25,25.99,USD
38,Docker Mastery,978-100-000-003-8,2023-09-02,55.00,GBP
39,Docker Essentials,978-100-000-003-9,2023-09-17,34.50,USD
40,Docker for Beginners,978-100-000-004-0,2023-10-04,22.99,EUR
41,MongoDB in Action,978-100-000-004-1,2023-01-19,35.99,USD
42,MongoDB Cookbook,978-100-000-004-2,2023-02-14,42.50,EUR
43,MongoDB Fundamentals,978-100-000-004-3,2023-03-09,39.99,USD
44,MongoDB Advanced,978-100-000-004-4,2023-04-16,49.99,GBP
45,MongoDB Patterns,978-100-000-004-5,2023-05-24,45.00,USD
46,MongoDB Guide,978-100-000-004-6,2023-06-22,29.99,EUR
47,MongoDB Crash Course,978-100-000-004-7,2023-07-26,25.99,USD
48,MongoDB Mastery,978-100-000-004-8,2023-09-03,55.00,GBP
49,MongoDB Essentials,978-100-000-004-9,2023-09-18,34.50,USD
50,MongoDB for Beginners,978-100-000-005-0,2023-10-05,22.99,EUR
51,React in Action,978-100-000-005-1,2023-01-20,35.99,USD
52,React Cookbook,978-100-000-005-2,2023-02-15,42.50,EUR
53,React Fundamentals,978-100-000-005-3,2023-03-10,39.99,USD
54,React Advanced,978-100-000-005-4,2023-04-17,49.99,GBP
55,React Patterns,978-100-000-005-5,2023-05-25,45.00,USD
56,React Guide,978-100-000-005-6,2023-06-23,29.99,EUR
57,React Crash Course,978-100-000-005-7,2023-07-27,25.99,USD
58,React Mastery,978-100-000-005-8,2023-09-04,55.00,GBP
59,React Essentials,978-100-000-005-9,2023-09-19,34.50,USD
60,React for Beginners,978-100-000-006-0,2023-10-06,22.99,EUR
61,TypeScript in Action,978-100-000-006-1,2023-01-21,35.99,USD
62,TypeScript Cookbook,978-100-000-006-2,2023-02-16,42.50,EUR
63,TypeScript Fundamentals,978-100-000-006-3,2023-03-11,39.99,USD
64,TypeScript Advanced,978-100-000-006-4,2023-04-18,49.99,GBP
65,TypeScript Patterns,978-100-000-006-5,2023-05-26,45.00,USD
66,TypeScript Guide,978-100-000-006-6,2023-06-24,29.99,EUR
67,TypeScript Crash Course,978-100-000-006-7,2023-07-28,25.99,USD
68,TypeScript Mastery,978-100-000-006-8,2023-09-05,55.00,GBP
69,TypeScript Essentials,978-100-000-006-9,2023-09-20,34.50,USD
70,TypeScript for Beginners,978-100-000-007-0,2023-10-07,22.99,EUR
71,Node.js in Action,978-100-000-007-1,2023-01-22,35.99,USD
72,Node.js Cookbook,978-100-000-007-2,2023-02-17,42.50,EUR
73,Node.js Fundamentals,978-100-000-007-3,2023-03-12,39.99,USD
74,Node.js Advanced,978-100-000-007-4,2023-04-19,49.99,GBP
75,Node.js Patterns,978-100-000-007-5,2023-05-27,45.00,USD
76,Node.js Guide,978-100-000-007-6,2023-06-25,29.99,EUR
77,Node.js Crash Course,978-100-000-007-7,2023-07-29,25.99,USD
78,Node.js Mastery,978-100-000-007-8,2023-09-06,55.00,GBP
79,Node.js Essentials,978-100-000-007-9,2023-09-21,34.50,USD
80,Node.js for Beginners,978-100-000-008-0,2023-10-08,22.99,EUR
81,System Design in Action,978-100-000-008-1,2023-01-23,35.99,USD
82,System Design Cookbook,978-100-000-008-2,2023-02-18,42.50,EUR
83,System Design Fundamentals,978-100-000-008-3,2023-03-13,39.99,USD
84,System Design Advanced,978-100-000-008-4,2023-04-20,49.99,GBP
85,System Design Patterns,978-100-000-008-5,2023-05-28,45.00,USD
86,System Design Guide,978-100-000-008-6,2023-06-26,29.99,EUR
87,System Design Crash Course,978-100-000-008-7,2023-07-30,25.99,USD
88,System Design Mastery,978-100-000-008-8,2023-09-07,55.00,GBP
89,System Design Essentials,978-100-000-008-9,2023-09-22,34.50,USD
90,System Design for Beginners,978-100-000-009-0,2023-10-09,22.99,EUR
91,Linux Admin in Action,978-100-000-009-1,2023-01-24,35.99,USD
92,Linux Admin Cookbook,978-100-000-009-2,2023-02-19,42.50,EUR
93,Linux Admin Fundamentals,978-100-000-009-3,2023-03-14,39.99,USD
94,Linux Admin Advanced,978-100-000-009-4,2023-04-21,49.99,GBP
95,Linux Admin Patterns,978-100-000-009-5,2023-05-29,45.00,USD
96,Linux Admin Guide,978-100-000-009-6,2023-06-27,29.99,EUR
97,Linux Admin Crash Course,978-100-000-009-7,2023-07-31,25.99,USD
98,Linux Admin Mastery,978-100-000-009-8,2023-09-08,55.00,GBP
99,Linux Admin Essentials,978-100-000-009-9,2023-09-23,34.50,USD
100,Linux Admin for Beginners,978-100-000-010-0,2023-10-10,22.99,EUR
101,Elixir Demystified,978-100-000-010-1,2022-04-06,38.75,EUR
102,Spring Demystified,978-100-000-010-2,2021-10-31,18.10,USD
103,Django Fundamentals,978-100-000-010-3,2020-03-25,55.15,USD
104,AI in 24 Hours,978-100-000-010-4,2020-07-16,21.17,GBP
105,TypeScript Mastery,978-100-000-010-5,2021-02-25,82.43,EUR
106,Cybersecurity in 24 Hours,978-100-000-010-6,2020-10-17,65.69,GBP
107,Django Crash Course,978-100-000-010-7,2020-09-20,62.75,GBP
108,Kubernetes Fundamentals,978-100-000-010-8,2020-08-28,24.78,USD
109,Vue Mastery,978-100-000-010-9,2021-04-27,84.52,USD
110,AWS Essentials,978-100-000-011-0,2022-06-28,46.64,EUR
111,Django Fundamentals,978-100-000-011-1,2021-02-24,62.59,GBP
112,JavaScript Guide,978-100-000-011-2,2021-11-21,20.95,USD
113,Docker Demystified,978-100-000-011-3,2020-02-26,98.34,GBP
114,React Native Demystified,978-100-000-011-4,2021-08-24,33.83,GBP
115,Elixir Demystified,978-100-000-011-5,2021-06-12,53.11,USD
116,Python Deep Dive,978-100-000-011-6,2021-05-31,27.55,EUR
117,Rust Fundamentals,978-100-000-011-7,2020-06-01,87.31,USD
118,Java Deep Dive,978-100-000-011-8,2022-01-04,14.67,EUR
119,JavaScript Demystified,978-100-000-011-9,2022-01-08,27.25,EUR
120,Elixir Crash Course,978-100-000-012-0,2021-10-04,65.70,USD
121,GCP Crash Course,978-100-000-012-1,2022-04-27,95.41,USD
122,DevOps Fundamentals,978-100-000-012-2,2021-04-16,75.55,EUR
123,Kubernetes Mastery,978-100-000-012-3,2021-04-22,20.72,GBP
124,Ruby Patterns,978-100-000-012-4,2020-07-09,65.23,USD
125,C++ in 24 Hours,978-100-000-012-5,2022-07-10,87.69,GBP
126,Blockchain Advanced,978-100-000-012-6,2021-09-04,49.97,USD
127,Scala Handbook,978-100-000-012-7,2022-08-18,78.70,GBP
128,Data Science in 24 Hours,978-100-000-012-8,2022-01-22,55.42,USD
129,Rust Deep Dive,978-100-000-012-9,2022-05-28,82.38,GBP
130,Kotlin Cookbook,978-100-000-013-0,2021-04-16,36.00,USD
131,Cybersecurity Demystified,978-100-000-013-1,2020-05-15,30.81,USD
132,Go Essentials,978-100-000-013-2,2021-02-01,90.03,USD
133,AWS Crash Course,978-100-000-013-3,2022-01-19,79.02,USD
134,Vue Patterns,978-100-000-013-4,2021-10-27,85.99,USD
135,React Native for Beginners,978-100-000-013-5,2020-11-03,18.18,EUR
136,Azure Mastery,978-100-000-013-6,2021-08-18,97.24,GBP
137,Flask in Action,978-100-000-013-7,2021-09-15,86.12,GBP
138,C++ Patterns,978-100-000-013-8,2021-08-15,48.67,GBP
139,Kubernetes Crash Course,978-100-000-013-9,2021-12-30,15.02,USD
140,PHP Essentials,978-100-000-014-0,2021-01-31,93.05,EUR
141,Cybersecurity Handbook,978-100-000-014-1,2020-09-26,33.87,GBP
142,Rust Advanced,978-100-000-014-2,2021-02-24,16.10,EUR
143,Flask Crash Course,978-100-000-014-3,2020-09-21,13.56,EUR
144,Kubernetes in Action,978-100-000-014-4,2022-01-10,66.97,EUR
145,Blockchain Guide,978-100-000-014-5,2021-04-01,65.57,USD
146,Data Science Advanced,978-100-000-014-6,2020-11-06,83.84,USD
147,Elixir for Beginners,978-100-000-014-7,2021-03-25,40.88,USD
148,GCP Deep Dive,978-100-000-014-8,2020-11-17,35.53,USD
149,Go Patterns,978-100-000-014-9,2021-05-27,71.57,GBP
150,Python Guide,978-100-000-015-0,2021-12-06,74.84,GBP
151,JavaScript in 24 Hours,978-100-000-015-1,2022-07-30,28.59,USD
152,AI Cookbook,978-100-000-015-2,2021-03-23,98.63,USD
153,AI Mastery,978-100-000-015-3,2022-06-27,60.21,GBP
154,Vue Cookbook,978-100-000-015-4,2021-05-04,60.37,EUR
155,Haskell Advanced,978-100-000-015-5,2020-07-15,71.85,EUR
156,Flask Handbook,978-100-000-015-6,2022-03-15,68.33,EUR
157,Kubernetes Handbook,978-100-000-015-7,2021-07-28,74.94,EUR
158,Kotlin Handbook,978-100-000-015-8,2022-07-30,33.61,USD
159,TypeScript Deep Dive,978-100-000-015-9,2022-07-03,33.79,USD
160,Angular for Beginners,978-100-000-016-0,2021-07-02,89.32,GBP
161,DevOps Essentials,978-100-000-016-1,2021-08-04,76.41,GBP
162,Haskell Mastery,978-100-000-016-2,2021-06-03,67.35,GBP
163,Django Demystified,978-100-000-016-3,2021-12-25,41.31,USD
164,Cybersecurity Patterns,978-100-000-016-4,2022-03-26,33.51,GBP
165,Spring Cookbook,978-100-000-016-5,2021-03-11,33.54,GBP
166,Django Guide,978-100-000-016-6,2022-08-14,75.03,GBP
167,JavaScript in 24 Hours,978-100-000-016-7,2021-07-09,71.25,GBP
168,Rust Deep Dive,978-100-000-016-8,2021-09-28,43.67,USD
169,TypeScript Handbook,978-100-000-016-9,2020-02-14,26.48,GBP
170,Swift Guide,978-100-000-017-0,2020-02-10,18.11,EUR
171,JavaScript Demystified,978-100-000-017-1,2021-05-25,41.69,GBP
172,C# in Action,978-100-000-017-2,2020-07-23,95.37,EUR
173,AI Fundamentals,978-100-000-017-3,2021-12-13,34.78,GBP
174,Python Cookbook,978-100-000-017-4,2021-11-24,65.71,USD
175,TypeScript Mastery,978-100-000-017-5,2021-12-20,45.12,GBP
176,Spring for Beginners,978-100-000-017-6,2020-09-01,69.80,EUR
177,Spring Cookbook,978-100-000-017-7,2022-06-10,61.05,GBP
178,Erlang for Beginners,978-100-000-017-8,2022-04-06,10.39,USD
179,TypeScript Cookbook,978-100-000-017-9,2020-11-12,53.98,EUR
180,PHP Handbook,978-100-000-018-0,2021-08-04,80.28,EUR
181,Angular Guide,978-100-000-018-1,2021-04-29,11.33,EUR
182,Ruby Deep Dive,978-100-000-018-2,2022-02-15,77.59,USD
183,Cybersecurity for Beginners,978-100-000-018-3,2021-05-07,23.88,GBP
184,Haskell Cookbook,978-100-000-018-4,2021-04-12,68.14,USD
185,Python Handbook,978-100-000-018-5,2021-05-21,52.05,USD
186,Kubernetes Patterns,978-100-000-018-6,2021-08-17,55.63,EUR
187,React Crash Course,978-100-000-018-7,2022-09-13,98.77,USD
188,TypeScript Deep Dive,978-100-000-018-8,2020-05-06,53.43,EUR
189,GCP Patterns,978-100-000-018-9,2022-05-07,37.33,GBP
190,Flutter Mastery,978-100-000-019-0,2021-06-16,62.39,USD
191,JavaScript Deep Dive,978-100-000-019-1,2022-01-26,98.90,EUR
192,Elixir Advanced,978-100-000-019-2,2021-05-14,60.33,USD
193,Laravel for Beginners,978-100-000-019-3,2020-01-21,50.50,GBP
194,Data Science Crash Course,978-100-000-019-4,2020-01-24,54.89,GBP
195,Spring Guide,978-100-000-019-5,2021-05-30,23.25,EUR
196,AI Guide,978-100-000-019-6,2022-03-10,27.21,GBP
197,JavaScript Crash Course,978-100-000-019-7,2021-12-28,67.48,EUR
198,Python Fundamentals,978-100-000-019-8,2022-05-11,53.53,EUR
199,Blockchain Crash Course,978-100-000-019-9,2020-01-19,33.72,USD
200,Spring for Beginners,978-100-000-020-0,2022-09-26,67.52,USD
201,Azure Deep Dive,978-100-000-020-1,2020-07-04,93.71,USD
202,Blockchain Crash Course,978-100-000-020-2,2020-12-10,21.32,GBP
203,Erlang Crash Course,978-100-000-020-3,2021-04-14,19.03,GBP
204,Flask Essentials,978-100-000-020-4,2020-03-26,11.20,EUR
205,Ruby in 24 Hours,978-100-000-020-5,2022-02-20,54.24,GBP
206,AWS for Beginners,978-100-000-020-6,2022-02-05,23.40,EUR
207,Cybersecurity for Beginners,978-100-000-020-7,2020-03-29,99.11,USD
208,Swift in Action,978-100-000-020-8,2021-06-06,29.78,GBP
209,Erlang Mastery,978-100-000-020-9,2022-01-05,34.88,USD
210,Flask Crash Course,978-100-000-021-0,2022-02-23,55.55,GBP
211,Elixir Advanced,978-100-000-021-1,2020-03-13,46.74,USD
212,C++ Patterns,978-100-000-021-2,2021-10-08,76.05,USD
213,C# in Action,978-100-000-021-3,2022-04-24,43.70,GBP
214,Scala Advanced,978-100-000-021-4,2020-03-17,76.51,USD
215,Swift Crash Course,978-100-000-021-5,2021-10-09,25.25,USD
216,Java in 24 Hours,978-100-000-021-6,2021-10-10,89.62,GBP
217,Vue Essentials,978-100-000-021-7,2022-09-20,37.30,GBP
218,Ruby Essentials,978-100-000-021-8,2020-05-22,46.25,GBP
219,Machine Learning Patterns,978-100-000-021-9,2022-02-26,93.44,GBP
220,Ruby Mastery,978-100-000-022-0,2021-10-25,19.42,USD
221,Data Science Demystified,978-100-000-022-1,2020-06-01,60.64,USD
222,Data Science Patterns,978-100-000-022-2,2020-12-15,76.08,GBP
223,AI Demystified,978-100-000-022-3,2021-02-28,23.79,GBP
224,Angular Crash Course,978-100-000-022-4,2022-03-15,67.75,USD
225,Kubernetes Cookbook,978-100-000-022-5,2022-07-11,65.98,EUR
226,Data Science Mastery,978-100-000-022-6,2021-08-14,88.34,USD
227,Python Essentials,978-100-000-022-7,2020-04-08,76.68,USD
228,AWS Cookbook,978-100-000-022-8,2021-07-13,24.57,EUR
229,Haskell for Beginners,978-100-000-022-9,2021-05-03,12.94,EUR
230,GCP Demystified,978-100-000-023-0,2021-03-21,27.31,GBP
231,Laravel Advanced,978-100-000-023-1,2020-03-28,98.16,GBP
232,Kotlin Cookbook,978-100-000-023-2,2021-10-01,60.78,USD
233,Rust Demystified,978-100-000-023-3,2020-01-17,25.26,EUR
234,Docker Deep Dive,978-100-000-023-4,2020-04-14,10.91,EUR
235,DevOps in 24 Hours,978-100-000-023-5,2022-06-26,17.77,GBP
236,Elixir Guide,978-100-000-023-6,2021-03-02,18.86,GBP
237,AWS Crash Course,978-100-000-023-7,2020-01-11,67.91,GBP
238,Blockchain in Action,978-100-000-023-8,2021-07-21,21.14,GBP
239,Go Cookbook,978-100-000-023-9,2020-11-01,47.99,USD
240,Swift in 24 Hours,978-100-000-024-0,2021-08-26,84.15,GBP
241,Flutter Crash Course,978-100-000-024-1,2021-10-30,50.49,EUR
242,Elixir Advanced,978-100-000-024-2,2021-06-23,77.31,EUR
243,Elixir Deep Dive,978-100-000-024-3,2022-08-13,18.57,EUR
244,React Native Deep Dive,978-100-000-024-4,2020-04-27,81.53,GBP
245,Flask for Beginners,978-100-000-024-5,2020-05-22,92.70,EUR
246,Go Advanced,978-100-000-024-6,2020-02-09,72.89,USD
247,Django Deep Dive,978-100-000-024-7,2020-09-29,53.24,EUR
248,Haskell for Beginners,978-100-000-024-8,2020-12-30,77.06,USD
249,Haskell Demystified,978-100-000-024-9,2022-05-20,49.76,USD
250,Kubernetes Demystified,978-100-000-025-0,2022-04-28,27.75,GBP
251,Haskell Guide,978-100-000-025-1,2020-06-11,78.63,EUR
252,AWS Guide,978-100-000-025-2,2022-01-31,43.77,GBP
253,Angular Patterns,978-100-000-025-3,2020-05-01,11.31,GBP
254,GCP Mastery,978-100-000-025-4,2020-10-05,25.42,EUR
255,Elixir Patterns,978-100-000-025-5,2020-06-23,91.04,USD
256,Data Science Guide,978-100-000-025-6,2020-08-27,34.28,EUR
257,GCP in 24 Hours,978-100-000-025-7,2020-04-19,59.26,EUR
258,Angular Deep Dive,978-100-000-025-8,2021-12-25,87.89,GBP
259,React Native for Beginners,978-100-000-025-9,2021-12-10,91.34,GBP
260,Elixir Patterns,978-100-000-026-0,2022-03-13,11.05,EUR
261,TypeScript Patterns,978-100-000-026-1,2020-11-19,23.06,EUR
262,Erlang Advanced,978-100-000-026-2,2022-02-02,33.38,GBP
263,Django Cookbook,978-100-000-026-3,2021-05-21,15.83,USD
264,PHP Crash Course,978-100-000-026-4,2020-08-15,61.41,USD
265,AI Demystified,978-100-000-026-5,2020-04-17,90.78,GBP
266,Rust Fundamentals,978-100-000-026-6,2021-11-26,67.12,USD
267,Kotlin Crash Course,978-100-000-026-7,2020-02-02,59.25,EUR
268,Kotlin Patterns,978-100-000-026-8,2020-09-10,38.51,EUR
269,Laravel for Beginners,978-100-000-026-9,2021-07-21,92.26,USD
270,C# Fundamentals,978-100-000-027-0,2021-02-03,68.95,USD
271,AI Essentials,978-100-000-027-1,2021-12-07,53.74,EUR
272,Machine Learning Advanced,978-100-000-027-2,2021-12-22,81.72,EUR
273,Cybersecurity Guide,978-100-000-027-3,2020-04-16,45.29,EUR
274,DevOps Advanced,978-100-000-027-4,2021-04-23,50.90,GBP
275,Go Crash Course,978-100-000-027-5,2022-06-28,37.45,USD
276,GCP Cookbook,978-100-000-027-6,2020-01-25,57.96,EUR
277,C# Cookbook,978-100-000-027-7,2022-07-05,43.32,GBP
278,Kubernetes Patterns,978-100-000-027-8,2022-07-19,54.71,USD
279,Haskell Patterns,978-100-000-027-9,2020-08-18,97.49,GBP
280,Django Cookbook,978-100-000-028-0,2021-01-06,79.25,USD
281,Angular Patterns,978-100-000-028-1,2020-09-22,16.70,USD
282,Spring Guide,978-100-000-028-2,2022-06-17,28.13,GBP
283,React Native Advanced,978-100-000-028-3,2020-04-29,56.03,EUR
284,TypeScript Demystified,978-100-000-028-4,2020-01-05,76.45,EUR
285,Erlang in 24 Hours,978-100-000-028-5,2022-02-25,21.43,USD
286,Scala in 24 Hours,978-100-000-028-6,2021-07-22,75.30,EUR
287,C# in 24 Hours,978-100-000-028-7,2020-09-05,13.73,EUR
288,Kubernetes Handbook,978-100-000-028-8,2021-11-08,97.79,USD
289,Blockchain for Beginners,978-100-000-028-9,2022-06-29,36.23,USD
290,Java Fundamentals,978-100-000-029-0,2021-05-09,39.23,EUR
291,Kubernetes for Beginners,978-100-000-029-1,2022-08-21,42.62,USD
292,C# Patterns,978-100-000-029-2,2022-06-03,59.60,GBP
293,AI Essentials,978-100-000-029-3,2022-09-16,14.01,EUR
294,JavaScript in Action,978-100-000-029-4,2021-05-29,28.68,USD
295,AI in 24 Hours,978-100-000-029-5,2021-05-22,84.31,GBP
296,Blockchain Cookbook,978-100-000-029-6,2021-09-18,99.42,GBP
297,Spring Fundamentals,978-100-000-029-7,2020-05-28,25.21,GBP
298,AWS in Action,978-100-000-029-8,2020-04-10,88.73,USD
299,Flutter Advanced,978-100-000-029-9,2020-04-12,94.58,GBP
300,Go Advanced,978-100-000-030-0,2020-03-17,77.99,EUR
301,TypeScript Guide,978-100-000-030-1,2022-07-26,73.76,USD
302,Blockchain for Beginners,978-100-000-030-2,2021-07-06,24.05,USD
303,C++ Crash Course,978-100-000-030-3,2020-03-28,33.08,USD
304,Rust Mastery,978-100-000-030-4,2021-10-18,43.05,GBP
305,React Crash Course,978-100-000-030-5,2022-06-04,87.98,EUR
306,Swift Deep Dive,978-100-000-030-6,2020-11-01,31.17,EUR
307,Swift Fundamentals,978-100-000-030-7,2022-07-27,45.89,USD
308,Java for Beginners,978-100-000-030-8,2020-09-30,28.50,GBP
309,Django Mastery,978-100-000-030-9,2021-09-23,48.07,GBP
310,Swift Deep Dive,978-100-000-031-0,2022-04-17,10.32,EUR
311,Java Demystified,978-100-000-031-1,2020-01-12,78.96,EUR
312,AWS Essentials,978-100-000-031-2,2020-09-25,31.39,USD
313,Erlang for Beginners,978-100-000-031-3,2020-12-10,90.98,GBP
314,JavaScript Cookbook,978-100-000-031-4,2021-03-11,55.58,GBP
315,Kubernetes Essentials,978-100-000-031-5,2022-09-05,33.93,GBP
316,Java Demystified,978-100-000-031-6,2022-05-09,30.69,GBP
317,Docker Cookbook,978-100-000-031-7,2021-08-04,94.29,EUR
318,GCP Crash Course,978-100-000-031-8,2020-11-03,95.36,EUR
319,Machine Learning in Action,978-100-000-031-9,2021-10-23,45.10,USD
320,Rust Fundamentals,978-100-000-032-0,2021-03-21,94.62,EUR
321,Vue Handbook,978-100-000-032-1,2021-06-18,68.03,EUR
322,Angular Patterns,978-100-000-032-2,2020-06-25,53.38,USD
323,TypeScript in Action,978-100-000-032-3,2020-08-05,91.73,EUR
324,Angular for Beginners,978-100-000-032-4,2020-11-11,59.88,GBP
325,Go Cookbook,978-100-000-032-5,2022-02-18,45.53,USD
326,Cybersecurity in 24 Hours,978-100-000-032-6,2020-10-31,24.83,GBP
327,Machine Learning Mastery,978-100-000-032-7,2022-09-26,20.14,EUR
328,Angular Patterns,978-100-000-032-8,2022-06-27,45.00,EUR
329,Vue for Beginners,978-100-000-032-9,2021-12-15,40.52,GBP
330,Go Guide,978-100-000-033-0,2020-01-17,99.78,USD
331,Laravel Guide,978-100-000-033-1,2021-02-12,75.10,EUR
332,Data Science in Action,978-100-000-033-2,2021-09-20,56.52,GBP
333,AWS for Beginners,978-100-000-033-3,2022-05-25,93.24,USD
334,Vue Essentials,978-100-000-033-4,2022-02-20,96.19,USD
335,C++ Advanced,978-100-000-033-5,2020-04-18,91.45,GBP
336,Elixir Cookbook,978-100-000-033-6,2022-05-15,15.00,EUR
337,Laravel Crash Course,978-100-000-033-7,2020-11-26,37.28,GBP
338,AI Deep Dive,978-100-000-033-8,2020-12-11,74.25,GBP
339,Go Patterns,978-100-000-033-9,2021-06-22,58.87,GBP
340,Docker Cookbook,978-100-000-034-0,2022-04-16,53.00,USD
341,Azure Cookbook,978-100-000-034-1,2020-06-27,61.04,EUR
342,Python Handbook,978-100-000-034-2,2021-09-04,17.91,GBP
343,Flutter Guide,978-100-000-034-3,2022-02-11,54.71,EUR
344,Machine Learning Guide,978-100-000-034-4,2021-04-29,10.98,GBP
345,Kotlin Mastery,978-100-000-034-5,2022-07-25,97.21,EUR
346,Haskell Crash Course,978-100-000-034-6,2020-03-10,48.91,USD
347,Docker in Action,978-100-000-034-7,2021-03-11,75.75,USD
348,Angular Handbook,978-100-000-034-8,2020-06-02,64.79,USD
349,JavaScript Handbook,978-100-000-034-9,2022-08-02,83.82,USD
350,Erlang Demystified,978-100-000-035-0,2021-09-30,65.66,GBP
351,Azure Deep Dive,978-100-000-035-1,2021-04-11,66.11,EUR
352,Erlang Crash Course,978-100-000-035-2,2022-06-26,26.00,EUR
353,Swift Mastery,978-100-000-035-3,2022-02-26,71.34,USD
354,Docker in 24 Hours,978-100-000-035-4,2022-06-20,74.49,GBP
355,Kubernetes Fundamentals,978-100-000-035-5,2021-10-25,73.52,USD
356,Erlang in Action,978-100-000-035-6,2020-06-09,87.46,EUR
357,Kubernetes Fundamentals,978-100-000-035-7,2020-07-30,19.27,USD
358,DevOps Cookbook,978-100-000-035-8,2021-02-10,50.75,USD
359,Angular in 24 Hours,978-100-000-035-9,2021-10-20,26.10,USD
360,Django Cookbook,978-100-000-036-0,2020-06-27,37.87,GBP
361,Scala Essentials,978-100-000-036-1,2020-11-16,41.23,EUR
362,Cybersecurity in 24 Hours,978-100-000-036-2,2020-07-08,76.28,USD
363,Haskell for Beginners,978-100-000-036-3,2021-05-14,31.80,GBP
364,DevOps Essentials,978-100-000-036-4,2022-06-19,16.96,GBP
365,Laravel for Beginners,978-100-000-036-5,2022-04-25,95.48,GBP
366,Django Handbook,978-100-000-036-6,2021-11-16,73.30,USD
367,Elixir Mastery,978-100-000-036-7,2022-02-26,69.49,GBP
368,Elixir for Beginners,978-100-000-036-8,2020-06-28,10.08,USD
369,Data Science in 24 Hours,978-100-000-036-9,2022-03-11,65.14,EUR
370,AI Handbook,978-100-000-037-0,2021-10-10,87.43,GBP
371,Kubernetes Essentials,978-100-000-037-1,2020-03-18,96.83,GBP
372,Python Essentials,978-100-000-037-2,2022-09-24,85.20,GBP
373,AI Fundamentals,978-100-000-037-3,2022-07-22,85.89,EUR
374,React for Beginners,978-100-000-037-4,2021-10-12,56.25,EUR
375,DevOps Guide,978-100-000-037-5,2021-05-16,70.27,GBP
376,React Native Fundamentals,978-100-000-037-6,2020-04-28,15.28,GBP
377,Flask Mastery,978-100-000-037-7,2020-12-20,36.87,GBP
378,Go for Beginners,978-100-000-037-8,2021-11-25,21.75,USD
379,Blockchain Fundamentals,978-100-000-037-9,2020-10-07,64.97,USD
380,Flask Guide,978-100-000-038-0,2022-03-23,83.60,EUR
381,DevOps Guide,978-100-000-038-1,2022-09-04,44.33,EUR
382,Erlang Handbook,978-100-000-038-2,2021-03-20,85.77,EUR
383,JavaScript Crash Course,978-100-000-038-3,2021-07-07,94.65,EUR
384,Haskell Crash Course,978-100-000-038-4,2020-06-30,71.86,GBP
385,Swift Crash Course,978-100-000-038-5,2020-04-24,58.52,EUR
386,Go Demystified,978-100-000-038-6,2020-12-18,73.65,GBP
387,React Native Essentials,978-100-000-038-7,2020-02-01,70.09,GBP
388,Data Science in 24 Hours,978-100-000-038-8,2021-09-08,15.59,GBP
